[DEBUG | 2017-12-30 19:06:44,953] vote for self 
[DEBUG | 2017-12-30 19:06:45,350] vote for self 
[DEBUG | 2017-12-30 19:06:45,802] vote for self 
[DEBUG | 2017-12-30 19:06:46,324] vote for self 
[DEBUG | 2017-12-30 19:06:46,908] vote for self 
[DEBUG | 2017-12-30 19:06:47,455] vote for self 
[DEBUG | 2017-12-30 19:06:47,985] vote for self 
[DEBUG | 2017-12-30 19:06:48,475] vote for self 
[DEBUG | 2017-12-30 19:06:48,899] vote for self 
[DEBUG | 2017-12-30 19:06:49,380] vote for self 
[DEBUG | 2017-12-30 19:06:49,824] vote for self 
[DEBUG | 2017-12-30 19:06:50,251] vote for self 
[DEBUG | 2017-12-30 19:06:50,687] vote for self 
[DEBUG | 2017-12-30 19:06:51,138] vote for self 
[DEBUG | 2017-12-30 19:06:51,589] vote for self 
[DEBUG | 2017-12-30 19:06:52,016] vote for self 
[DEBUG | 2017-12-30 19:06:52,546] vote for self 
[DEBUG | 2017-12-30 19:06:53,039] vote for self 
[DEBUG | 2017-12-30 19:06:53,523] vote for self 
[DEBUG | 2017-12-30 19:06:54,077] vote for self 
[DEBUG | 2017-12-30 19:06:54,578] vote for self 
[DEBUG | 2017-12-30 19:06:55,020] vote for self 
[DEBUG | 2017-12-30 19:06:55,459] vote for self 
[DEBUG | 2017-12-30 19:06:55,847] vote for self 
[DEBUG | 2017-12-30 19:06:56,224] vote for self 
[DEBUG | 2017-12-30 19:06:56,655] vote for self 
[DEBUG | 2017-12-30 19:06:57,079] vote for self 
[DEBUG | 2017-12-30 19:06:57,443] vote for self 
[DEBUG | 2017-12-30 19:06:57,883] vote for self 
[DEBUG | 2017-12-30 19:06:58,373] vote for self 
[DEBUG | 2017-12-30 19:06:58,780] vote for self 
[DEBUG | 2017-12-30 19:06:59,153] vote for self 
[DEBUG | 2017-12-30 19:06:59,542] vote for self 
[DEBUG | 2017-12-30 19:06:59,903] vote for self 
[DEBUG | 2017-12-30 19:07:00,247] vote for self 
[DEBUG | 2017-12-30 19:07:00,617] vote for self 
[DEBUG | 2017-12-30 19:07:01,072] vote for self 
[DEBUG | 2017-12-30 19:07:01,545] vote for self 
[DEBUG | 2017-12-30 19:07:01,906] vote for self 
[DEBUG | 2017-12-30 19:07:02,286] vote for self 
[DEBUG | 2017-12-30 19:07:02,770] vote for self 
[DEBUG | 2017-12-30 19:07:03,173] vote for self 
[DEBUG | 2017-12-30 19:07:03,526] vote for self 
[DEBUG | 2017-12-30 19:07:03,868] vote for self 
[DEBUG | 2017-12-30 19:07:04,324] vote for self 
[DEBUG | 2017-12-30 19:07:04,826] vote for self 
[DEBUG | 2017-12-30 19:07:05,294] vote for self 
[DEBUG | 2017-12-30 19:07:05,729] vote for self 
[DEBUG | 2017-12-30 19:07:06,075] vote for self 
[DEBUG | 2017-12-30 19:07:06,475] vote for self 
[DEBUG | 2017-12-30 19:07:06,863] vote for self 
[DEBUG | 2017-12-30 19:07:07,310] vote for self 
[DEBUG | 2017-12-30 19:07:07,800] vote for self 
[DEBUG | 2017-12-30 19:07:08,280] vote for self 
[DEBUG | 2017-12-30 19:07:08,718] vote for self 
[DEBUG | 2017-12-30 19:07:09,042] vote for self 
[DEBUG | 2017-12-30 19:07:09,406] vote for self 
[DEBUG | 2017-12-30 19:07:09,862] vote for self 
[DEBUG | 2017-12-30 19:07:10,291] vote for self 
[DEBUG | 2017-12-30 19:07:10,690] vote for self 
[DEBUG | 2017-12-30 19:07:11,085] vote for self 
[DEBUG | 2017-12-30 19:07:11,521] vote for self 
[DEBUG | 2017-12-30 19:07:12,041] vote for self 
[DEBUG | 2017-12-30 19:07:12,523] vote for self 
[DEBUG | 2017-12-30 19:07:13,017] vote for self 
[DEBUG | 2017-12-30 19:07:13,481] vote for self 
[DEBUG | 2017-12-30 19:07:13,835] vote for self 
[DEBUG | 2017-12-30 19:07:14,287] vote for self 
[DEBUG | 2017-12-30 19:07:14,827] vote for self 
[DEBUG | 2017-12-30 19:07:15,240] vote for self 
[DEBUG | 2017-12-30 19:07:15,671] vote for self 
[DEBUG | 2017-12-30 19:07:16,167] vote for self 
[DEBUG | 2017-12-30 19:07:16,584] vote for self 
[DEBUG | 2017-12-30 19:07:17,066] vote for self 
[DEBUG | 2017-12-30 19:07:17,600] vote for self 
[DEBUG | 2017-12-30 19:07:18,071] vote for self 
[DEBUG | 2017-12-30 19:07:18,556] vote for self 
[DEBUG | 2017-12-30 19:07:19,007] vote for self 
[DEBUG | 2017-12-30 19:07:19,362] vote for self 
[DEBUG | 2017-12-30 19:07:19,695] vote for self 
[DEBUG | 2017-12-30 19:07:20,146] vote for self 
[DEBUG | 2017-12-30 19:07:20,586] vote for self 
[DEBUG | 2017-12-30 19:07:20,912] vote for self 
