[INFO | 2017-12-23 18:50:15,084] 客服端正常退出 fd=18
[INFO | 2017-12-23 18:50:15,099] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 18:59:21,984] 客服端正常退出 fd=16
[INFO | 2017-12-23 19:00:11,033] 客服端正常退出 fd=17
[INFO | 2017-12-23 19:00:11,036] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 19:00:11,039] 客服端正常退出 fd=16
[INFO | 2017-12-23 19:03:38,302] 客服端正常退出 fd=16
[INFO | 2017-12-23 19:04:16,051] 客服端正常退出 fd=17
[INFO | 2017-12-23 19:04:16,053] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 19:04:59,299] 客服端正常退出 fd=16
[INFO | 2017-12-23 19:06:17,816] 客服端正常退出 fd=17
[INFO | 2017-12-23 19:06:17,821] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 19:11:28,052] 客服端正常退出 fd=16
[INFO | 2017-12-23 19:56:57,825] kill all the clild now
[INFO | 2017-12-23 19:56:59,770] kill all the clild now
[INFO | 2017-12-23 19:57:02,163] child close 0
[INFO | 2017-12-23 19:57:02,226] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 19:57:13,689] kill all the clild now
[INFO | 2017-12-23 19:57:15,711] child close 0
[INFO | 2017-12-23 20:01:05,043] become a Leader
[INFO | 2017-12-23 20:01:05,046] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:01:16,190] kill all the clild now
[INFO | 2017-12-23 20:01:18,490] kill all the clild now
[INFO | 2017-12-23 20:01:19,069] child close 0
[INFO | 2017-12-23 20:01:41,289] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:01:41,288] localhost 9000 is survived
[INFO | 2017-12-23 20:02:52,156] 客服端正常退出 fd=16
[INFO | 2017-12-23 20:17:09,378] 客服端正常退出 fd=16
[INFO | 2017-12-23 20:17:10,711] kill all the clild now
[INFO | 2017-12-23 20:17:11,291] child close 0
[INFO | 2017-12-23 20:17:11,298] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:23:22,723] localhost 9000 is survived
[INFO | 2017-12-23 20:23:22,725] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:23:49,561] kill all the clild now
[INFO | 2017-12-23 20:23:49,788] child close 0
[INFO | 2017-12-23 20:23:49,856] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:33:20,945] localhost 9000 is survived
[INFO | 2017-12-23 20:33:20,949] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:33:44,232] kill all the clild now
[INFO | 2017-12-23 20:33:44,510] child close 0
[INFO | 2017-12-23 20:33:44,517] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:35:33,301] localhost 9000 is survived
[INFO | 2017-12-23 20:35:33,302] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:38:36,556] kill all the clild now
[INFO | 2017-12-23 20:38:36,937] child close 0
[INFO | 2017-12-23 20:38:36,956] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:39:24,126] localhost 9000 is survived
[INFO | 2017-12-23 20:39:24,127] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:39:43,738] kill all the clild now
[INFO | 2017-12-23 20:39:53,830] child close 0
[INFO | 2017-12-23 20:39:54,401] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 20:39:54,600] 发送失败
[INFO | 2017-12-23 20:39:57,864] become a Leader
[INFO | 2017-12-23 20:39:57,867] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:39:58,736] kill all the clild now
[INFO | 2017-12-23 20:39:58,762] child close 0
[INFO | 2017-12-23 20:39:58,768] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 20:39:58,946] 发送失败
[INFO | 2017-12-23 20:40:00,632] kill all the clild now
[INFO | 2017-12-23 20:40:02,217] child close 0
[INFO | 2017-12-23 20:40:41,219] become a Leader
[INFO | 2017-12-23 20:40:41,220] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:43:43,955] kill all the clild now
[INFO | 2017-12-23 20:43:47,155] child close 0
[INFO | 2017-12-23 20:43:47,492] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:45:12,130] localhost 9000 is survived
[INFO | 2017-12-23 20:45:12,133] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:45:57,833] kill all the clild now
[INFO | 2017-12-23 20:45:58,034] child close 0
[INFO | 2017-12-23 20:45:58,042] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:46:46,632] localhost 9000 is survived
[INFO | 2017-12-23 20:46:46,634] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:55:49,588] kill all the clild now
[INFO | 2017-12-23 20:55:49,877] child close 0
[INFO | 2017-12-23 20:55:49,885] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 20:56:32,471] localhost 9000 is survived
[INFO | 2017-12-23 20:56:32,473] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 20:56:54,813] 客服端正常退出 fd=18
[INFO | 2017-12-23 20:56:54,818] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 20:59:18,270] kill all the clild now
[INFO | 2017-12-23 20:59:18,531] child close 0
[INFO | 2017-12-23 20:59:18,540] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 21:00:01,263] localhost 9000 is survived
[INFO | 2017-12-23 21:00:01,264] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 21:00:05,221] 客服端正常退出 fd=17
[INFO | 2017-12-23 21:00:05,234] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 21:05:18,909] 客服端正常退出 fd=16
[INFO | 2017-12-23 21:09:58,484] kill all the clild now
[INFO | 2017-12-23 21:09:58,819] child close 0
[INFO | 2017-12-23 21:09:58,830] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 21:11:13,528] localhost 9000 is survived
[INFO | 2017-12-23 21:11:13,531] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 21:16:17,050] kill all the clild now
[INFO | 2017-12-23 21:16:17,278] child close 0
[INFO | 2017-12-23 21:16:17,286] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 21:17:02,564] localhost 9000 is survived
[INFO | 2017-12-23 21:17:02,565] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 21:17:07,956] 客服端正常退出 fd=18
[INFO | 2017-12-23 21:17:07,986] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 21:21:09,844] kill all the clild now
[INFO | 2017-12-23 21:21:10,099] child close 0
[INFO | 2017-12-23 21:21:10,104] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 21:21:56,426] localhost 9000 is survived
[INFO | 2017-12-23 21:21:56,428] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 21:22:04,933] 客服端正常退出 fd=17
[INFO | 2017-12-23 21:22:04,940] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 21:25:30,808] kill all the clild now
[INFO | 2017-12-23 21:25:31,018] child close 0
[INFO | 2017-12-23 21:25:31,031] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 21:26:45,997] localhost 9000 is survived
[INFO | 2017-12-23 21:26:45,999] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 21:29:50,928] kill all the clild now
[INFO | 2017-12-23 21:29:51,134] child close 0
[INFO | 2017-12-23 21:29:51,142] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 21:29:54,290] kill all the clild now
[INFO | 2017-12-23 21:30:08,987] child close 0
[INFO | 2017-12-23 21:30:44,603] become a Leader
[INFO | 2017-12-23 21:30:44,614] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 21:31:11,524] 客服端正常退出 fd=18
[INFO | 2017-12-23 21:31:11,532] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 21:32:03,762] 客服端正常退出 fd=16
[INFO | 2017-12-23 21:32:03,770] 客服端正常退出 fd=20
[INFO | 2017-12-23 21:32:05,894] 客服端正常退出 fd=17
[INFO | 2017-12-23 21:32:05,896] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 21:32:22,954] 客服端正常退出 fd=19
[INFO | 2017-12-23 21:32:25,327] 客服端正常退出 fd=16
[INFO | 2017-12-23 21:32:25,329] server : 139.199.26.222 11002 close
