[INFO | 2018-01-05 19:16:39,652] localhost 9001 become a Leader, I am a follower
[INFO | 2018-01-05 19:16:39,652] become a Leader
[INFO | 2018-01-05 19:16:55,795] 客服端正常退出 fd=16
[INFO | 2018-01-05 19:16:56,082] 发送失败 sockfd=16
[INFO | 2018-01-05 19:16:56,089] 客服端正常退出 fd=16
[INFO | 2018-01-05 19:16:56,160] 客服端正常退出 fd=16
[INFO | 2018-01-05 19:22:04,276] 客服端正常退出 fd=16
[INFO | 2018-01-05 19:22:04,644] 客服端正常退出 fd=16
[INFO | 2018-01-05 19:22:07,720] 客服端正常退出 fd=20
[INFO | 2018-01-05 19:23:39,952] 发送失败 sockfd=16
[INFO | 2018-01-05 19:23:56,628] 客服端正常退出 fd=22
[INFO | 2018-01-05 19:23:59,811] 客服端正常退出 fd=23
[INFO | 2018-01-05 19:25:17,575] 发送失败 sockfd=22
[INFO | 2018-01-05 19:25:17,578] 客服端正常退出 fd=24
[INFO | 2018-01-05 19:25:17,765] 客服端正常退出 fd=24
[INFO | 2018-01-05 19:25:20,905] 发送失败 sockfd=24
[INFO | 2018-01-05 19:25:20,927] 发送失败 sockfd=24
[INFO | 2018-01-05 19:26:50,687] 客服端正常退出 fd=26
[INFO | 2018-01-05 19:28:10,830] kill all the clild now
[INFO | 2018-01-05 19:28:11,213] child close 0
[INFO | 2018-01-05 19:28:11,220] DtbtNginx : localhost 9000 close
[INFO | 2018-01-05 19:28:11,653] kill all the clild now
